Category,Item,Serving Size (g),Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),,370,50,6.0,3.5,0.0,25,250,65,1,59,14,20,0,45,4
Coffee & Tea,Frappé Mocha (Small),,450,160,18.0,12.0,1.0,65,125,65,1,57,7,15,0,20,4
Coffee & Tea,Frappé Mocha (Medium),,550,200,22.0,14.0,1.0,75,160,80,1,71,9,15,0,25,4
Coffee & Tea,Frappé Mocha (Large),,670,240,26.0,17.0,1.0,90,190,98,1,88,11,20,0,35,4
Coffee & Tea,Frappé Caramel (Small),,450,170,19.0,12.0,1.0,65,125,64,0,57,7,15,0,25,2
Coffee & Tea,Frappé Caramel (Medium),,550,200,23.0,15.0,1.0,80,160,79,0,71,9,20,0,30,2
Coffee & Tea,Frappé Caramel (Large),,670,250,27.0,17.0,1.5,95,190,96,0,88,11,20,0,35,2
Coffee & Tea,Frappé Chocolate Chip (Small),,530,200,23.0,14.0,1.0,65,135,76,1,67,8,15,0,25,4
Coffee & Tea,Frappé Chocolate Chip (Medium),,630,240,26.0,17.0,1.0,80,160,91,1,81,9,15,0,30,4
Coffee & Tea,Frappé Chocolate Chip (Large),,760,280,31.0,20.0,1.5,95,200,111,1,99,12,20,0,35,6
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),,220,5,0.5,0.0,0.0,5,40,50,3,44,2,0,2,6,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),,260,5,1.0,0.0,0.0,5,50,62,4,54,3,0,4,8,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),,340,10,1.0,0.5,0.0,5,65,79,5,70,4,0,4,10,2
Smoothies & Shakes,Strawberry Banana Smoothie (Small),,210,5,0.5,0.0,0.0,5,50,47,3,44,3,0,30,8,2
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),,250,5,1.0,0.0,0.0,5,60,58,3,54,4,0,35,8,4
Smoothies & Shakes,Strawberry Banana Smoothie (Large),,330,10,1.0,0.5,0.0,5,80,74,4,70,5,0,45,10,4
Smoothies & Shakes,Mango Pineapple Smoothie (Small),,210,5,0.5,0.0,0.0,5,40,50,1,46,2,30,20,8,2
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),,260,10,1.0,0.0,0.0,5,45,61,1,56,3,40,25,8,2
Smoothies & Shakes,Mango Pineapple Smoothie (Large),,340,10,1.0,0.5,0.0,5,60,78,2,72,4,50,30,10,2
Smoothies & Shakes,Vanilla Shake (Small),,530,140,15.0,10.0,1.0,60,160,86,0,63,11,20,0,40,0
Smoothies & Shakes,Vanilla Shake (Medium),,660,170,19.0,12.0,1.0,75,200,109,0,81,14,25,0,50,0
Smoothies & Shakes,Vanilla Shake (Large),,820,210,23.0,15.0,1.0,90,260,135,0,101,18,30,0,60,0
Smoothies & Shakes,Strawberry Shake (Small),,550,150,16.0,10.0,1.0,60,160,90,0,79,12,20,0,40,0
Smoothies & Shakes,Strawberry Shake (Medium),,690,180,20.0,13.0,1.0,75,210,114,0,100,15,25,0,50,0
Smoothies & Shakes,Strawberry Shake (Large),,850,210,24.0,15.0,1.0,90,260,140,0,123,18,30,0,70,0
Smoothies & Shakes,Chocolate Shake (Small),,560,150,16.0,10.0,1.0,60,240,91,1,77,12,20,0,40,8
Smoothies & Shakes,Chocolate Shake (Medium),,700,180,20.0,12.0,1.0,75,300,114,2,97,15,25,0,50,10
Smoothies & Shakes,Chocolate Shake (Large),,850,210,23.0,15.0,1.0,85,380,141,2,120,19,30,0,60,15
Smoothies & Shakes,Shamrock Shake (Medium),,660,170,19.0,12.0,1.0,75,210,109,0,93,14,25,0,50,0
Smoothies & Shakes,Shamrock Shake (Large),,820,210,23.0,15.0,1.0,90,260,135,0,115,18,30,0,60,0
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),310,650,210,23.0,14.0,0.5,50,180,96,1,89,13,15,0,45,8
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),460,930,290,33.0,20.0,1.0,75,260,139,2,128,20,25,0,70,10
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),207,430,140,15.0,10.0,0.0,35,120,64,1,59,9,10,0,30,4
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),285,510,150,17.0,9.0,0.5,45,280,80,1,64,12,15,0,40,8
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),381,690,200,23.0,12.0,1.0,55,380,106,1,85,15,20,0,50,10
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),190,340,100,11.0,6.0,0.0,30,190,53,1,43,8,10,0,25,6
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),403,810,290,32.0,15.0,1.0,60,400,114,2,103,21,20,0,60,6
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),202,410,150,16.0,8.0,0.0,30,200,57,1,51,10,10,0,30,4
